"Reference","Value","Qty","DNP","MPN","Manufacturer","Description"
"C1","4.7u","1","","KGM05CR51C475MH","Kyocera AVX","Unpolarized capacitor"
"C2,C9,C11,C16,C18,C19","1u","6","","GRM033R61C105ME15D","Murata Electronics","Unpolarized capacitor"
"C3,C4,C6,C24","100n","4","","C0603X5R1C104K030BC","TDK","Unpolarized capacitor"
"C5","10n","1","","GRM033R61C103KA12D","Murata Electronics","Unpolarized capacitor"
"C7,C12,C13","10u","3","","GRM188R61E106KA73D","Murata Electronics","Unpolarized capacitor"
"C8,C10","33n","2","","GRM033R61C333KE84D","Murata Electronics","Unpolarized capacitor"
"C14,C15,C20,C21","2.2u","4","","GRM035R61C225ME01D","Murata Electronics","Unpolarized capacitor"
"C17","1n","1","","GRM033R61E102KA01J ","Murata Electronics","Unpolarized capacitor"
"C22,C23","2p","2","","GJM0335C1E2R0WB01D","Murata Electronics","Unpolarized capacitor"
"D1,D2","~","2","","SDM05U20CSP-7 ","Diodes Incorporated",""
"D3","~","1","","CSL1901UW1","ROHM","LED-RED-0603-ROHM-CSL1901UW1"
"D4","~","1","","LGQ396","OSRAM","LED-GREEN-0603-OSRAM-LGQ396"
"J1,J2,J3,J7","~","4","","TLW-102-06-G-S","Samtec","Header-Low-Profile-Male-2_2x1_P0.1in"
"J4","~","1","","FTSH-105-01-L-DV-K","Samtec","ARM10-10_2x5_P0.05in"
"J5","~","1","","SLW-110-01-G-D","Samtec","Header-Low-Profile-Female-20_2x10_P0.1in"
"J6","~","1","","7914G-1-000","Bournes","PUSHBUTTON-7914G-1-000"
"L1","3.3u","1","","XFL2006-332MEC","Coilcraft",""
"L2","4.7u","1","","XFL2006-472MEC","Coilcraft",""
"R1","0","1","","RC0201FR-070RL","Yageo","Resistor"
"R3,R4","4.7k","2","","RC0201FR-074K7L","Yageo","Resistor"
"R5,R6,R7,R8,R21,R22,R23,R24","0","8","","RC0402JR-070RL","Yageo","Resistor"
"R9","4.87k","1","","RC0201FR-074K87L","Yageo","Resistor"
"R10","7.5k","1","","RC0201FR-077K5L","Yageo","Resistor"
"R11","1.15M","1","","CRCW02011M15FNED","Vishay Dale","Resistor"
"R12,R13","100k","2","","RC0201FR-07100KL","Yageo","Resistor"
"R14","1.33M","1","","CRCW02011M33FNED","Vishay Dale","Resistor"
"R15","8.06k","1","","RC0201FR-078K06L","Yageo","Resistor"
"R16,R18","10k","2","","RC0201FR-0710KL","Yageo","Resistor"
"R17","64.9k","1","","RC0201FR-0764K9L","Yageo","Resistor"
"R19","402","1","","RCS0402402RFKED","Vishay Dale","Resistor"
"R20","499","1","","RCS0402499RFKED","Vishay Dale","Resistor"
"S1","~","1","","A79623-001","Omnetics","12-pin Omnetics connector for RHD2000-Cable-Amp-Side"
"S2,S3,S6,S7","~","4","","None","None","MOUNTING_HOLE-PAD-0.1IN"
"S4","~","1","","A79633-001","Omnetics","16-pin Omnetics Connector for RHD2000"
"S5","~","1","","A79024-001","Omnetics","36-pin Omnetics Connector"
"U1","~","1","","STM32U083KCU6","ST Microelectronics","STM32 Ultra-low-power Arm M0+, 32-bit MCU"
"U2","~","1","","ADP5070ACPZ-R7","Analog Devices","DC-to-DC Switching Regulator with Independent Positive and Negative Outputs"
"U3","~","1","","ADP7142ACPZN5.0-R7","Analog Devices","40 V, 200 mA, Low Noise, CMOS LDO Linear Regulator"
"U4","~","1","","ADP7182ACPZN-R7","Analog Devices","–28 V, −200 mA, Low Noise, Linear Regulator"
"U5","~","1","","TLV7113030DDSER","Texas Instruments","Dual, 200mA, Low-IQ Low-Dropout Regulator for Portable Devices"
"X1","~","1","","  ECS-.327-6-1210B-N-TR","ECS","CRYSTAL-ECS-ECX-1210B-32KHZ"
